N,Linear,Sum,Product,Polynom,Polynom Horner,Bubble sort,Quick sort,Tim sort,Matrix product
1,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,2
3,0,0,0,0,0,0,0,0,2
4,0,0,0,0,1,0,0,0,3
5,0,0,0,0,0,1,1,0,4
6,0,0,0,0,1,1,1,0,7
7,0,0,0,0,1,5,1,1,8
8,0,0,0,0,1,1,1,1,12
9,0,0,0,1,1,1,1,0,17
10,0,0,0,1,1,1,1,0,22
11,0,0,0,1,1,1,1,1,28
12,0,0,0,1,1,1,1,1,38
13,0,0,0,1,1,2,2,1,45
14,0,0,1,1,1,2,1,1,55
15,0,1,1,1,1,2,2,1,68
16,0,1,1,1,1,2,2,1,80
17,0,1,1,1,1,3,2,1,101
18,0,1,1,1,1,3,2,1,115
19,0,1,1,1,1,3,2,1,134
20,1,1,1,1,1,3,2,1,155
21,0,1,1,1,1,4,2,1,179
22,1,1,1,1,1,4,2,1,205
23,1,1,1,1,1,5,3,2,234
24,1,1,1,1,1,5,3,2,267
25,1,1,1,1,1,5,3,2,303
26,1,1,1,1,1,6,3,2,337
27,1,1,1,1,2,6,3,2,377
28,1,1,1,1,2,6,3,2,424
29,1,1,1,1,2,7,3,2,467
30,1,1,1,1,2,7,3,2,524
31,1,1,1,1,2,8,4,2,567
32,1,1,1,1,2,8,4,3,631
33,1,1,1,1,2,9,4,3,684
34,1,1,1,1,2,9,4,3,749
35,1,1,1,1,2,10,4,3,818
36,1,1,1,1,2,10,4,3,884
37,1,1,1,2,2,11,4,3,965
38,1,1,1,1,2,11,4,3,1041
39,1,1,1,1,2,12,5,4,1131
40,1,1,1,1,2,13,5,4,1208
41,1,1,1,2,2,13,5,4,1304
42,1,1,1,2,2,14,5,4,1400
43,1,1,1,2,2,14,5,4,1513
44,1,1,1,2,2,15,5,4,1609
45,1,1,1,2,2,16,5,4,1728
46,1,1,1,2,2,16,6,4,1882
47,1,1,1,2,2,18,6,5,1997
48,1,1,1,2,2,18,6,5,2114
49,1,1,1,2,3,19,6,5,2275
50,1,1,1,2,3,19,6,5,2404
51,1,1,1,2,3,20,6,6,2569
52,1,1,1,2,3,21,7,6,2722
53,1,1,1,2,3,22,6,6,2885
54,1,1,1,2,3,23,7,7,3087
55,1,1,1,2,3,25,7,7,3284
56,1,2,1,2,3,25,7,7,3458
57,1,1,1,2,3,25,8,7,3664
58,1,1,1,2,3,27,8,7,3877
59,1,1,1,2,3,28,8,7,4101
60,1,1,1,2,3,29,8,7,5231
61,1,2,2,3,4,32,9,8,4666
62,1,1,1,2,3,30,8,8,4782
63,1,2,2,2,3,32,9,8,4997
64,1,2,2,2,4,32,8,9,5223
65,1,2,2,2,3,34,9,10,5501
66,1,2,2,2,4,35,9,10,5764
67,1,2,2,2,4,36,10,11,6068
68,1,2,2,2,4,37,9,10,6494
69,2,2,2,3,4,38,10,10,6830
70,2,2,2,3,4,39,10,11,7107
71,1,2,2,3,4,40,10,11,7442
72,1,2,2,3,4,41,10,11,7764
73,1,2,2,3,4,43,10,11,8166
74,1,2,2,3,4,45,11,11,8543
75,1,2,2,2,4,45,11,11,8828
76,1,2,2,3,4,46,11,11,9193
77,1,2,2,3,4,47,11,11,9562
78,2,2,2,3,5,49,11,11,10196
79,2,2,2,3,4,52,11,12,10729
80,2,2,2,3,4,52,12,12,11137
81,2,2,2,3,4,54,12,12,11575
82,2,2,2,3,5,55,12,13,12038
83,2,2,2,3,4,56,12,12,12512
84,2,2,2,3,5,59,12,13,12987
85,2,3,2,3,5,60,12,13,13455
86,2,2,2,3,5,60,12,13,13971
87,2,2,2,3,5,61,13,13,14442
88,2,2,2,3,5,62,13,13,14923
89,2,2,2,3,5,64,13,13,15457
