N,Linear,Sum,Product,Polynom,Polynom Horner,Bubble sort,Quick sort,Tim sort,Matrix product
1,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,1
3,1,0,1,0,0,0,0,1,2
4,0,0,0,0,0,0,0,0,2
5,0,0,0,0,0,0,0,0,3
6,0,0,0,1,0,0,1,0,4
7,0,0,0,0,0,1,1,0,6
8,0,0,0,0,1,1,1,0,8
9,0,0,0,0,1,1,1,1,12
10,0,0,0,0,1,1,1,0,15
11,0,0,0,0,1,1,1,1,20
12,0,0,0,1,1,1,1,1,25
13,0,0,0,0,1,2,1,1,31
14,0,0,0,1,1,2,1,1,38
15,0,0,0,1,1,2,1,1,47
16,1,0,0,1,1,3,2,1,55
17,0,1,0,1,1,3,2,1,66
18,1,0,0,1,1,3,2,1,78
19,1,0,0,1,1,3,2,1,91
20,0,0,0,1,1,3,2,1,106
21,1,0,0,1,1,4,2,1,122
22,1,1,0,1,1,4,2,1,139
23,1,1,1,1,1,5,2,1,158
24,1,1,1,1,1,5,3,2,178
25,1,1,1,1,1,5,3,2,201
26,1,1,1,1,1,5,3,2,226
27,1,1,1,1,1,6,3,2,252
28,1,1,1,1,1,6,3,2,280
29,1,1,1,1,1,7,3,2,313
30,1,1,1,1,1,7,3,2,345
31,1,1,1,1,1,8,3,2,380
32,1,1,1,1,2,8,4,2,417
33,1,1,1,1,2,8,4,3,457
34,1,1,1,1,2,9,4,3,498
35,1,1,1,1,2,10,4,3,546
36,1,1,1,1,2,10,4,3,592
37,1,1,1,1,2,11,4,3,643
38,1,1,1,1,2,11,4,3,696
39,1,1,1,1,2,12,5,3,750
40,1,1,1,1,2,12,5,4,810
41,1,1,1,1,2,13,5,4,872
42,1,1,1,1,2,14,5,4,937
43,1,1,1,1,2,15,5,4,1006
44,1,1,1,1,2,15,5,4,1076
45,1,1,1,1,2,16,5,5,1152
46,1,1,1,1,2,16,6,5,1228
47,1,1,1,1,2,17,6,5,1309
48,1,1,1,1,2,18,6,5,1391
49,1,1,1,1,2,19,6,5,1499
50,1,1,1,2,2,20,6,6,1580
51,1,1,1,2,2,21,6,6,1677
52,1,1,1,1,2,20,6,6,1776
53,1,1,1,2,2,21,6,6,1883
54,1,1,1,2,3,23,7,6,1987
55,1,1,1,2,3,23,7,7,2109
56,1,1,1,2,3,25,7,7,2227
57,1,1,1,2,3,25,7,7,2355
58,1,1,1,2,3,26,7,7,2492
59,1,1,1,2,3,27,8,7,2631
60,1,1,1,2,3,29,8,8,2778
61,1,1,1,2,3,30,8,8,2945
62,1,1,1,2,3,30,8,8,3084
63,1,1,1,2,3,31,8,8,3255
64,2,1,1,2,3,32,8,8,3402
65,1,1,1,2,3,33,8,10,3568
66,1,1,1,2,3,33,9,11,3759
67,1,2,1,2,3,35,9,10,3964
68,1,1,1,2,3,36,9,10,4196
69,2,1,1,2,3,35,9,10,4194
70,1,1,1,2,3,36,9,10,4383
71,1,1,1,2,3,37,9,10,4577
72,1,1,1,2,3,38,9,10,4913
73,2,2,1,2,4,42,10,11,5202
74,1,2,1,2,3,40,10,10,5222
75,1,1,1,2,3,42,10,11,5461
76,2,1,1,3,3,43,10,10,5817
77,2,2,2,2,4,46,11,12,6159
78,2,2,2,2,4,48,11,11,6420
79,2,2,2,2,4,48,11,11,6670
80,2,2,2,3,4,49,11,11,6936
81,2,2,2,3,4,51,11,12,7265
82,2,2,2,2,4,53,11,12,7484
83,2,2,2,2,4,53,11,12,7770
84,2,2,2,3,4,53,12,12,7760
85,2,2,2,2,4,54,11,11,7929
86,2,2,2,2,4,54,11,12,8228
87,2,2,2,2,4,55,11,12,8526
88,2,2,2,2,4,57,11,12,8799
89,2,2,2,3,4,58,12,12,9117
90,2,2,2,3,4,59,12,12,9424
91,2,2,2,3,4,60,12,12,9772
92,2,2,2,3,4,61,12,12,10076
93,2,2,2,3,4,63,12,12,10426
94,2,2,2,3,4,65,13,13,10836
95,2,2,2,3,4,66,13,13,11151
96,2,2,2,3,4,68,13,13,11503
97,2,2,2,3,4,68,13,13,12628
98,2,2,2,3,5,74,14,14,12980
99,2,2,2,3,5,80,15,16,13315
100,2,2,2,3,5,75,14,14,13019
101,2,2,2,3,4,74,14,14,13440
102,2,2,2,3,5,79,14,14,14664
103,2,2,2,3,5,82,15,15,15196
104,2,2,2,3,5,84,15,16,15592
105,2,2,2,3,5,85,15,15,16037
106,2,2,2,3,5,87,16,16,16508
107,2,2,2,3,5,89,15,16,16983
108,2,2,2,3,5,91,16,16,17432
109,2,2,2,3,5,93,15,16,17480
110,2,2,2,3,5,87,15,16,17438
111,2,2,2,3,5,91,16,16,17866
112,2,2,2,3,5,95,15,16,18386
113,2,2,2,3,5,94,16,16,19432
114,2,2,2,3,5,100,16,17,21134
115,2,2,2,3,5,105,17,18,21616
116,3,2,3,4,6,113,18,19,22488
117,3,2,2,4,5,108,17,18,22472
118,3,2,2,4,6,111,18,19,23121
119,2,2,2,3,6,110,18,19,23634
120,3,2,2,4,6,113,18,19,24204
121,3,2,2,4,6,115,18,19,24744
122,3,2,2,4,6,116,18,20,24535
123,2,2,2,3,6,110,18,19,24404
124,2,2,2,4,5,113,17,19,25007
125,2,2,2,3,5,115,18,19,25650
126,2,2,2,4,5,118,18,19,27284
127,3,3,2,4,6,126,19,21,27928
128,3,2,2,4,6,123,19,20,28163
129,3,2,2,4,6,130,19,24,29044
130,2,2,2,4,6,124,18,22,29011
131,3,2,2,4,6,129,19,23,29821
132,3,2,2,4,6,128,19,23,31598
133,3,3,3,4,6,139,20,24,33033
134,3,2,3,4,6,141,20,24,33623
135,3,3,3,4,6,142,20,24,34352
136,3,3,3,4,6,144,21,24,35053
137,3,3,3,4,6,147,21,24,35932
138,3,3,2,4,6,150,21,24,36692
139,3,3,3,4,6,153,21,25,37512
140,3,3,3,4,6,153,22,25,38158
141,3,3,3,4,7,155,22,25,38925
142,3,3,3,4,7,157,22,25,40151
143,3,3,3,4,6,150,21,23,40441
144,3,3,3,4,7,163,22,25,41945
145,3,3,3,4,7,166,22,25,42775
146,4,3,3,4,7,162,22,24,45637
147,3,3,3,5,8,182,24,28,44016
148,3,3,3,4,7,174,23,26,46020
149,3,3,3,4,7,175,23,26,46797
150,3,3,3,4,7,176,23,26,47516
151,3,3,3,4,7,178,23,26,
152,3,3,3,4,7,181,23,26,
153,3,3,3,4,7,184,24,26,
154,3,3,3,4,7,186,24,26,
155,3,3,3,5,7,188,24,27,
156,3,3,3,4,7,191,24,29,
157,3,3,3,4,7,192,24,26,
158,3,3,3,5,7,197,25,27,
159,3,3,3,5,7,199,25,27,
160,3,3,3,5,7,200,25,28,
161,3,3,3,5,7,202,25,27,
162,3,3,3,5,7,206,25,28,
163,3,3,3,5,7,208,25,28,
164,4,3,3,5,7,209,26,28,
165,3,3,3,5,8,213,26,29,
166,3,3,3,5,7,217,26,29,
167,3,3,3,5,8,219,26,29,
168,3,3,3,5,7,221,27,29,
169,3,3,3,5,7,223,27,29,
170,3,3,3,5,8,227,28,29,
171,3,3,3,5,8,228,27,29,
172,3,3,3,5,8,231,27,30,
173,3,3,3,5,8,233,27,29,
174,4,3,3,5,8,238,28,30,
175,3,3,3,5,8,238,28,31,
176,3,3,3,5,8,242,28,31,
177,3,3,3,5,8,246,28,30,
178,4,4,3,5,8,248,28,31,
179,4,3,3,5,8,251,29,31,
180,4,3,3,5,8,254,29,31,
181,4,3,3,5,8,256,29,31,
182,3,3,3,5,8,261,29,32,
183,4,3,3,5,8,264,30,32,
184,4,3,3,5,8,265,29,32,
185,4,3,3,5,8,269,29,33,
186,4,4,3,5,9,272,30,33,
187,4,4,3,5,8,274,30,32,
188,4,3,3,5,8,277,30,33,
189,4,4,4,5,9,280,30,33,
190,4,3,3,5,9,282,30,35,
191,4,4,3,5,9,287,30,34,
192,4,3,3,5,9,290,31,34,
193,4,4,4,6,9,296,31,36,
194,4,4,3,5,9,296,31,37,
195,4,4,4,5,9,297,31,37,
196,4,4,3,6,9,302,31,36,
197,4,4,4,5,9,305,32,37,
198,4,4,4,6,9,310,32,37,
199,4,4,4,6,9,311,32,37,
200,4,4,4,6,9,316,33,38,
201,4,4,4,6,9,318,33,37,
202,4,4,4,6,9,322,32,38,
203,4,4,4,6,9,326,33,38,
204,4,4,4,6,9,329,33,38,
205,4,4,4,6,9,335,33,38,
206,4,4,4,6,9,336,33,38,
207,4,4,4,6,10,339,33,39,
208,4,4,4,6,10,343,34,40,
209,4,4,4,6,10,348,34,39,
210,4,4,4,6,9,351,34,39,
211,4,4,4,6,10,358,35,40,
212,4,4,4,6,10,356,34,39,
213,4,4,4,6,10,360,35,40,
214,4,4,4,7,10,363,35,40,
215,4,4,4,7,10,366,35,40,
216,4,4,4,6,10,369,36,40,
217,4,4,4,6,10,373,36,40,
218,4,4,4,7,10,377,37,42,
219,5,4,4,7,10,397,36,41,
220,4,5,4,7,11,401,38,43,
221,5,4,5,7,11,402,38,42,
222,5,4,4,7,10,398,37,41,
223,4,4,4,6,10,398,37,41,
224,5,4,4,7,10,404,37,41,
225,4,5,4,6,11,402,37,42,
226,4,4,5,7,10,406,38,42,
227,5,4,4,7,10,415,38,42,
228,4,4,4,7,10,417,38,42,
229,4,4,4,7,11,416,39,43,
230,5,4,4,7,11,421,39,43,
231,5,4,4,7,11,423,38,43,
232,5,4,4,7,11,432,38,43,
233,5,5,4,7,11,433,39,43,
234,5,4,4,7,11,436,39,44,
235,5,4,5,7,11,440,40,43,
236,5,4,4,7,11,444,40,44,
237,5,4,4,7,11,448,40,44,
238,5,5,4,7,11,452,40,44,
239,5,5,4,7,11,456,40,44,
240,5,5,4,7,11,458,40,45,
241,5,5,5,7,11,463,40,45,
242,5,5,5,7,11,468,41,46,
243,5,4,4,7,11,473,41,46,
244,5,4,4,7,11,475,40,46,
245,5,5,4,7,11,477,41,46,
246,5,5,5,7,11,483,41,46,
247,5,5,5,7,11,491,42,47,
248,5,5,4,7,11,489,41,47,
249,5,5,4,7,11,494,42,47,
250,5,5,5,7,11,499,42,47,
251,5,5,5,7,12,503,42,48,
252,5,5,5,7,11,507,42,48,
253,5,5,5,7,12,509,42,48,
254,5,5,5,8,11,517,42,48,
255,5,5,5,7,12,519,43,48,
256,5,5,5,7,11,523,43,49,
257,5,5,5,7,12,526,43,54,
258,5,5,5,8,11,529,43,54,
259,5,5,5,8,12,536,44,54,
260,5,5,5,7,12,535,44,54,
261,5,5,5,8,12,545,44,54,
262,5,5,5,8,12,547,44,54,
263,5,5,5,7,12,552,44,54,
264,5,5,5,8,12,558,44,54,
265,5,5,5,7,12,563,46,54,
266,5,5,5,8,12,569,46,55,
267,5,5,5,8,12,569,45,55,
268,5,5,5,8,12,575,45,57,
269,5,5,5,8,13,583,45,55,
270,5,5,5,8,13,586,45,55,
271,5,5,5,8,12,576,42,50,
272,5,5,5,8,12,548,43,52,
273,5,5,5,7,12,564,43,52,
274,5,5,5,7,12,570,44,52,
275,5,5,5,8,12,573,44,53,
276,5,5,5,8,12,576,44,52,
277,5,5,5,8,12,585,44,53,
278,5,5,5,8,12,587,44,53,
279,5,5,5,8,12,591,44,53,
280,5,5,5,7,12,598,45,53,
281,5,5,5,8,12,602,45,53,
282,5,5,5,8,12,607,45,53,
283,5,5,5,8,12,613,46,54,
284,5,5,5,8,13,615,46,54,
285,5,5,5,8,12,623,46,54,
286,5,5,5,8,12,624,45,54,
287,5,5,5,8,12,627,46,54,
288,5,5,5,8,12,633,46,55,
289,5,5,5,8,12,640,46,55,
290,5,5,5,8,13,639,46,55,
291,5,5,5,8,12,647,47,56,
292,5,5,5,8,13,648,47,55,
293,6,5,5,8,13,653,47,55,
294,5,5,5,8,13,658,47,55,
295,5,5,5,8,13,664,47,55,
296,5,5,5,8,13,667,48,56,
297,5,5,5,8,13,675,47,56,
298,5,5,5,8,13,677,48,56,
299,5,5,5,8,13,681,48,56,
300,5,5,5,8,13,691,48,57,
301,6,5,5,8,13,693,49,57,
302,6,5,5,9,13,698,49,57,
303,6,5,5,8,13,698,48,58,
304,6,5,5,8,13,705,50,57,
305,5,5,6,9,13,707,49,58,
306,5,5,5,8,13,713,50,57,
307,6,5,5,8,13,720,50,58,
308,5,5,5,8,14,721,50,58,
309,6,5,5,8,13,736,52,62,
310,6,5,5,9,14,771,51,61,
311,6,6,6,9,14,751,51,60,
312,6,5,6,9,13,751,50,59,
313,6,6,5,9,14,753,51,60,
314,6,5,5,9,13,761,51,61,
315,6,5,5,8,14,761,52,61,
316,6,6,6,9,14,768,51,61,
317,6,5,5,9,14,775,52,60,
318,6,6,5,9,14,777,52,61,
319,6,6,5,9,14,785,52,62,
320,6,6,5,9,14,790,53,61,
321,6,6,6,9,14,797,52,62,
322,6,5,5,9,14,799,52,63,
323,6,6,6,9,14,801,53,63,
324,6,6,6,9,14,809,53,64,
325,6,5,5,9,14,813,53,65,
326,6,6,5,9,14,815,53,63,
327,6,5,6,9,14,823,54,65,
328,6,6,6,9,14,826,55,63,
329,6,6,6,9,14,829,54,64,
330,6,6,6,9,14,846,53,64,
331,6,6,6,9,14,847,53,66,
332,6,6,6,9,14,853,54,65,
333,6,6,6,9,14,854,55,64,
334,6,6,6,9,15,859,56,64,
335,6,6,6,9,14,864,56,66,
336,6,6,6,9,15,872,55,65,
337,6,6,6,9,14,877,55,65,
338,7,6,6,9,15,879,55,65,
