x,y,y with noise,Gradient descent linear,Gradient descent real,Conjugate grad desc linear,Conjugate grad desc real,Newton's method linear,Newton's method real,Levenberg Marquardt linear,Levenberg Marquardt real
0.61,1.29292,1.7002,1.29838,1.24388,1.29839,1.24388,1.30138,0.201006
0.62,1.30201,1.21498,1.30764,1.25321,1.30765,1.25321,1.31134,0.206168
0.63,1.31111,1.54413,1.3169,1.26268,1.31691,1.26268,1.32129,0.211603
0.64,1.3202,1.09534,1.32616,1.2723,1.32617,1.2723,1.33125,0.217332
0.65,1.3293,1.33927,1.33543,1.28206,1.33543,1.28206,1.34121,0.22338
0.66,1.33839,1.47545,1.34469,1.29198,1.3447,1.29198,1.35116,0.229775
0.67,1.34749,1.48796,1.35395,1.30205,1.35396,1.30205,1.36112,0.236546
0.68,1.35658,1.32464,1.36321,1.31227,1.36322,1.31227,1.37108,0.243728
0.69,1.36568,1.4073,1.37247,1.32266,1.37248,1.32266,1.38104,0.25136
0.7,1.37477,0.842179,1.38173,1.33322,1.38174,1.33322,1.39099,0.259486
0.71,1.38387,1.12988,1.39099,1.34395,1.391,1.34395,1.40095,0.268155
0.72,1.39296,1.79455,1.40025,1.35485,1.40026,1.35485,1.41091,0.277422
0.73,1.40206,1.33541,1.40951,1.36592,1.40953,1.36592,1.42086,0.287354
0.74,1.41115,1.60356,1.41877,1.37718,1.41879,1.37718,1.43082,0.298022
0.75,1.42025,1.62504,1.42803,1.38863,1.42805,1.38863,1.44078,0.309514
0.76,1.42934,1.22358,1.4373,1.40027,1.43731,1.40027,1.45073,0.321927
0.77,1.43844,0.978834,1.44656,1.41211,1.44657,1.41211,1.46069,0.335377
0.78,1.44753,1.0608,1.45582,1.42414,1.45583,1.42415,1.47065,0.350001
0.79,1.45663,1.48068,1.46508,1.43639,1.46509,1.43639,1.4806,0.365958
0.8,1.46572,1.72178,1.47434,1.44885,1.47436,1.44885,1.49056,0.383439
0.81,1.47482,1.44371,1.4836,1.46152,1.48362,1.46153,1.50052,0.402674
0.82,1.48391,1.38186,1.49286,1.47442,1.49288,1.47443,1.51047,0.423941
0.83,1.49301,1.31657,1.50212,1.48755,1.50214,1.48755,1.52043,0.44758
0.84,1.5021,1.52165,1.51138,1.50092,1.5114,1.50092,1.53039,0.47401
0.85,1.5112,1.46619,1.52064,1.51452,1.52066,1.51453,1.54034,0.503758
0.86,1.52029,1.49365,1.5299,1.52838,1.52992,1.52838,1.5503,0.53749
0.87,1.52939,1.71494,1.53917,1.54249,1.53919,1.5425,1.56026,0.576063
0.88,1.53848,1.74271,1.54843,1.55687,1.54845,1.55687,1.57022,0.620601
0.89,1.54758,1.81975,1.55769,1.57151,1.55771,1.57152,1.58017,0.672603
0.9,1.55667,1.80228,1.56695,1.58644,1.56697,1.58644,1.59013,0.734116
0.91,1.56576,1.13209,1.57621,1.60165,1.57623,1.60165,1.60009,0.808014
0.92,1.57486,1.31951,1.58547,1.61715,1.58549,1.61716,1.61004,0.898454
0.93,1.58395,1.07787,1.59473,1.63296,1.59475,1.63296,1.62,1.01169
0.94,1.59305,1.47003,1.60399,1.64908,1.60402,1.64908,1.62996,1.15759
0.95,1.60214,1.50281,1.61325,1.66552,1.61328,1.66553,1.63991,1.35266
0.96,1.61124,1.71864,1.62251,1.68229,1.62254,1.6823,1.64987,1.6268
0.97,1.62033,1.93131,1.63178,1.6994,1.6318,1.69941,1.65983,2.04029
0.98,1.62943,1.89007,1.64104,1.71687,1.64106,1.71688,1.66978,2.73563
0.99,1.63852,1.73847,1.6503,1.7347,1.65032,1.73471,1.67974,4.14995
