x,y,y with noise,Exhaustive search linear,Exhaustive search real,Coordinate descent linear,Coordinate descent real,Nelder Mead linear,Nelder Mead real,Gradient descent linear,Gradient descent real,Conjugate grad desc linear,Conjugate grad desc real,Newton's method linear,Newton's method real,Levenberg Marquardt linear,Levenberg Marquardt real
0.87,1.34087,1.01507,1.37623,1.38622,1.37697,1.38704,1.23174,1.43186,1.37631,1.38548,1.37632,1.38549,1.39663,0.526047,1.27462,0.562818
0.88,1.35055,0.855104,1.38552,1.40202,1.38628,1.40296,1.23672,1.4549,1.3856,1.40127,1.38561,1.40128,1.40659,0.566755,1.28048,0.605808
0.89,1.36023,1.40562,1.39481,1.41818,1.39559,1.41925,1.2417,1.47869,1.39488,1.41742,1.3949,1.41743,1.41655,0.614292,1.28634,0.655909
0.9,1.36991,1.39069,1.4041,1.43472,1.4049,1.43592,1.24667,1.50328,1.40417,1.43395,1.40419,1.43396,1.4265,0.670533,1.2922,0.715045
0.91,1.37959,1.3521,1.41339,1.45165,1.41421,1.45299,1.25165,1.5287,1.41346,1.45087,1.41348,1.45088,1.43646,0.73811,1.29806,0.7859
0.92,1.38926,1.4508,1.42268,1.46898,1.42352,1.47046,1.25663,1.55499,1.42275,1.46819,1.42277,1.4682,1.44642,0.820835,1.30392,0.872341
0.93,1.39894,1.6374,1.43197,1.48674,1.43283,1.48837,1.26161,1.58221,1.43204,1.48593,1.43205,1.48594,1.45638,0.924444,1.30978,0.980149
0.94,1.40862,1.38356,1.44126,1.50492,1.44214,1.50671,1.26658,1.61039,1.44132,1.5041,1.44134,1.50412,1.46634,1.05799,1.31564,1.11836
0.95,1.4183,2.04912,1.45055,1.52356,1.45145,1.52552,1.27156,1.63959,1.45061,1.52273,1.45063,1.52274,1.4763,1.23663,1.3215,1.30195
0.96,1.42798,1.52762,1.45984,1.54267,1.46076,1.54479,1.27654,1.66987,1.4599,1.54182,1.45992,1.54183,1.48625,1.48785,1.32736,1.55765
0.97,1.43766,1.84585,1.46913,1.56226,1.47007,1.56457,1.28151,1.7013,1.46919,1.5614,1.46921,1.56141,1.49621,1.86716,1.33322,1.93834
0.98,1.44734,1.19419,1.47842,1.58235,1.47938,1.58485,1.28649,1.73393,1.47848,1.58147,1.4785,1.58149,1.50617,2.50606,1.33908,2.56529
0.99,1.45702,1.91801,1.48771,1.60297,1.48869,1.60567,1.29147,1.76783,1.48776,1.60208,1.48779,1.6021,1.51613,3.80962,1.34494,3.79172
